序号,矿井场景,场景大类,有什么问题（痛点）,需要什么解决方案,要求什么技术/设备,参考白皮书来源
11,矿井通风系统,通风场景,"1.通风网络复杂，风量分配不合理
2.通风能耗高，主扇运行效率低
3.局部通风机管理分散
4.通风设施（风门/风桥）状态监测不足
5.灾变时期风流调控手段有限","1.智能通风系统：按需通风与风量优化
2.主通风机变频节能运行
3.局部通风机智能联动控制
4.通风设施状态在线监测
5.灾变通风智能应急调控","1.风速/风压/风量传感器
2.主通风机变频器+在线监测
3.智能风门/风窗执行机构
4.通风网络解算软件
5.气体检测传感器
6.环境监测分站",《煤矿智能化发展蓝皮书》2025；《中国智能矿山产业发展白皮书》(亿欧智库)；国家能源局《煤矿智能化标准体系建设指南》(2024)
12,矿井通信网络,通信与信息化,"1.井下无线通信信号覆盖不完整
2.多种通信系统并存（WiFi/4G/5G/广播），互不兼容
3.语音/数据/视频传输带宽不足
4.通信设备防爆认证要求高
5.地面与井下通信可靠性差","1.建设5G+WiFi6融合的矿井通信网络
2.统一的矿山通信平台（语音+数据+视频）
3.井下核心网下沉（MEC边缘计算）
4.应急通信保障体系
5.矿鸿(MineHarmony)统一物联协议","1.矿用5G基站（宏站+微站+基站）
2.矿用防爆手机/终端
3.MEC边缘计算平台
4.工业环网交换机
5.融合通信调度平台
6.矿鸿协议智能终端",中国电信《5G智慧矿山融合方案白皮书》；华为《矿山智能化白皮书》；中国电信《5G智慧矿山终端融合白皮书》
13,井下人员定位与管理,人员管理,"1.传统定位精度低（区域级），无法精确到人
2.人员入井/升井管理依赖人工
3.限员管理困难，超员风险高
4.灾变时人员搜救定位不准
5.特殊岗位人员在岗状态不明","1.高精度井下人员定位系统（亚米级/厘米级）
2.智能入井考勤与限员管理
3.人员轨迹分析与行为识别
4.应急搜救精确定位
5.电子围栏与禁区管控","1.UWB/BLE定位基站与标签
2.人脸识别闸机
3.定位管理平台软件
4.防爆智能安全帽（集成定位+通信）
5.人员行为AI分析系统
6.电子围栏系统",《煤矿智能化发展蓝皮书》2025；《中国智能矿山产业发展白皮书》(亿欧智库)；国家能源局《煤矿智能化标准体系建设指南》(2024)
14,大型固定设备运维（主提升/主排水/压风等）,设备运维,"1.设备检修依赖定期计划，过度维修或维修不足
2.设备故障停机影响生产，损失大
3.关键设备运行参数监测不全面
4.设备健康状态评估缺乏数据支撑
5.备品备件管理粗放","1.设备预测性维护（PHM）系统
2.关键设备在线状态监测
3.基于AI的设备故障诊断与寿命预测
4.设备全生命周期管理平台
5.智能备件管理与库存优化","1.振动传感器/温度传感器/油液分析传感器
2.PLC数据采集网关
3.设备健康管理平台(PHM)
4.工业大数据分析平台
5.智能巡检仪/手持终端
6.数字孪生仿真系统",《煤矿智能化发展蓝皮书》2025；ABB《Next Level Mining》白皮书；《2024智能矿山暨无人驾驶行业蓝皮书》
15,地质保障与三维建模,地质保障,"1.地质构造探查精度不够，前方隐伏构造难发现
2.地质模型更新滞后，与实际偏差大
3.多源地质数据融合分析能力弱
4.工作面前方煤层厚度/岩性变化预判不足
5.掘进/回采中地质异常影响生产","1.透明地质/透明工作面系统
2.三维地质模型动态更新
3.多源地质数据融合分析平台
4.基于AI的地质异常智能识别
5.随掘/随采地震超前探测","1.三维地震勘探设备
2.槽波地震仪
3.瞬变电磁仪/地质雷达
4.三维地质建模软件
5.钻孔测井仪
6.地质大数据分析平台",《煤矿智能化发展蓝皮书》2025；《金属矿山数字化转型白皮书》(华为)；《2026年AI+智慧矿山全场景应用解决方案白皮书》
16,选矿/洗煤生产,选矿加工,"1.选矿/洗煤工艺参数人工调节，产品质量波动
2.核心分选设备（重介旋流器/浮选机）智能化程度低
3.尾矿品位偏高，回收率不稳定
4.选矿过程能耗高、药剂消耗大
5.在线检测滞后，无法实时反馈","1.智能选矿/洗煤全流程控制
2.核心分选设备智能控制（重介密度/浮选液位）
3.基于AI的工艺参数优化与质量预测
4.在线品位分析与实时反馈控制
5.尾矿综合利用智能管理","1.在线X荧光分析仪(XRF)/在线灰分仪
2.核心分选设备智能控制器
3.工业摄像头+AI矿石品位识别
4.变频器+智能阀门执行器
5.浮选/重介工艺优化软件
6.选矿DCS控制系统",《中国智能矿山产业发展白皮书》(亿欧智库)；《金属矿山数字化转型白皮书》(华为)；《2024智能矿山暨无人驾驶行业蓝皮书》
17,矿井供电系统,供电保障,"1.井下供电可靠性要求高但故障频发
2.供电系统单线图与实际拓扑不同步
3.继电保护整定复杂，协调困难
4.电能质量监测不完善
5.谐波治理与无功补偿不足","1.智能供电管理系统
2.供电网络拓扑自动识别
3.智能继电保护与故障自愈
4.电能质量在线监测与治理
5.变配电房智能巡检","1.智能综合保护装置
2.电能质量分析仪
3.配电房巡检机器人
4.智能开关柜
5.供电监控SCADA系统
6.无功补偿与谐波治理装置",《煤矿智能化发展蓝皮书》2025；国家能源局《煤矿智能化标准体系建设指南》(2024)
18,矿山综合管控平台,综合管理,"1.各子系统（通风/排水/运输/安全/供电等）信息孤岛严重
2.调度指挥依赖电话+对讲机，效率低
3.生产数据分散，无法形成统一决策依据
4.缺乏全局性的生产态势感知
5.应急指挥缺乏多系统联动支撑","1.矿山综合管控平台（一体化平台）
2.生产调度智能指挥中心
3.多系统数据融合与统一展示
4.基于数字孪生的矿山态势感知
5.应急指挥多系统联动","1.综合管控平台软件
2.大屏可视化系统
3.数据中台/数据湖
4.数字孪生引擎
5.统一指挥调度台
6.AI决策支持系统",华为《矿山智能化白皮书》；《中国智能矿山产业发展白皮书》(亿欧智库)；《2026年AI+智慧矿山全场景应用解决方案白皮书》
19,AI大模型赋能,综合管理,"1.矿山专业AI算法开发门槛高、周期长
2.各场景AI模型重复开发、通用性差
3.AI工业机理模型与矿山专业知识结合不足
4.缺乏统一的AI开发与部署平台
5.数据标注与训练样本积累不足","1.矿山AI大模型一体化平台
2.基于大模型的低代码AI开发
3.矿山专业领域AI模型库
4.AI模型在线推理与持续迭代
5.矿山知识图谱与智能问答","1.AI一体机（推理/训练服务器）
2.矿山AI大模型（如国家能源集团AI平台/中煤""地知""大模型）
3.GPU/NPU算力集群
4.MLOps平台
5.数据标注工具
6.矿山知识图谱构建工具",《2026年AI+智慧矿山全场景应用解决方案白皮书》；华为《矿山智能化白皮书》；《中央企业AI应用场景白皮书》(2024)
20,绿色低碳与环保,综合管理,"1.矿山碳排放核算不准确
2.矸石山/尾矿库环境监测不完善
3.矿井水处理达标率不稳定
4.粉尘/噪声污染治理手段落后
5.绿色矿山评价缺乏数据支撑","1.矿山碳排放智能监测与管理
2.矸石山/尾矿库在线安全监测
3.矿井水处理智能控制系统
4.粉尘/噪声在线监测与自动降尘
5.绿色矿山评价指标数据化管理","1.碳排放监测传感器
2.环境监测站（粉尘/噪声/水质）
3.智能喷雾降尘系统
4.矿井水处理PLC控制系统
5.环保数据管理平台
6.无人机环保巡检系统",《中国智能矿山产业发展白皮书》(亿欧智库)；《2024智能矿山暨无人驾驶行业蓝皮书》；FARO《Mapping the Underground World》白皮书
