source,relation,target,confidence,evidence
地质保障与三维建模,has_pain_point,工作面前方煤层厚度/岩性变化预判不足,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""地质保障与三维建模""}"
地质保障与三维建模,has_pain_point,掘进/回采中地质异常影响生产,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""地质保障与三维建模""}"
大型固定设备运维（主提升/主排水/压风等）,has_pain_point,关键设备运行参数监测不全面,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""大型固定设备运维（主提升/主排水/压风等）""}"
大型固定设备运维（主提升/主排水/压风等）,has_pain_point,备品备件管理粗放,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""大型固定设备运维（主提升/主排水/压风等）""}"
大型固定设备运维（主提升/主排水/压风等）,has_pain_point,设备健康状态评估缺乏数据支撑,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""大型固定设备运维（主提升/主排水/压风等）""}"
大型固定设备运维（主提升/主排水/压风等）,has_pain_point,设备故障停机影响生产，损失大,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""大型固定设备运维（主提升/主排水/压风等）""}"
大型固定设备运维（主提升/主排水/压风等）,has_pain_point,设备检修依赖定期计划，过度维修或维修不足,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""大型固定设备运维（主提升/主排水/压风等）""}"
掘进工作面,has_pain_point,临时支护与永久支护衔接不畅，效率低,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""掘进工作面""}"
掘进工作面,has_pain_point,地质条件未知，前方探水探瓦斯困难,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""掘进工作面""}"
掘进工作面,has_pain_point,掘进与运输、通风协调不足,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""掘进工作面""}"
掘进工作面,has_pain_point,掘进工作面粉尘大，能见度低,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""掘进工作面""}"
掘进工作面,has_pain_point,掘进机截割精度依赖人工经验，超欠挖严重,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""掘进工作面""}"
水害防治,has_pain_point,井下突水/透水事故预警手段不足,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""水害防治""}"
水害防治,has_pain_point,地表水体与井下联系分析不充分,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""水害防治""}"
水害防治,has_pain_point,应急预案执行依赖人工决策,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""水害防治""}"
水害防治,has_pain_point,排水系统自动化程度低,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""水害防治""}"
水害防治,has_pain_point,老空区/含水层水文参数监测不全面,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""水害防治""}"
火灾与防灭火,has_pain_point,外因火灾（电缆/设备起火）发现滞后,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""火灾与防灭火""}"
火灾与防灭火,has_pain_point,火灾发生后风流调控不及时,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""火灾与防灭火""}"
火灾与防灭火,has_pain_point,煤层自燃发火早期征兆难以识别,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""火灾与防灭火""}"
火灾与防灭火,has_pain_point,采空区温度/CO监测覆盖不全,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""火灾与防灭火""}"
火灾与防灭火,has_pain_point,防灭火材料注入效果无法评估,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""火灾与防灭火""}"
瓦斯监测监控,has_pain_point,传感器维护标定频繁，工作量大,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""瓦斯监测监控""}"
瓦斯监测监控,has_pain_point,大面积瓦斯监测覆盖不完整,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""瓦斯监测监控""}"
瓦斯监测监控,has_pain_point,瓦斯传感器精度不足，误报率高,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""瓦斯监测监控""}"
瓦斯监测监控,has_pain_point,瓦斯抽采系统与监测联动不足,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""瓦斯监测监控""}"
瓦斯监测监控,has_pain_point,瓦斯超限后应急响应不及时,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""瓦斯监测监控""}"
矿井供电系统,has_pain_point,井下供电可靠性要求高但故障频发,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井供电系统""}"
矿井供电系统,has_pain_point,供电系统单线图与实际拓扑不同步,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井供电系统""}"
矿井供电系统,has_pain_point,电能质量监测不完善,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井供电系统""}"
矿井供电系统,has_pain_point,继电保护整定复杂，协调困难,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井供电系统""}"
矿井供电系统,has_pain_point,谐波治理与无功补偿不足,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井供电系统""}"
矿井通信网络,has_pain_point,井下无线通信信号覆盖不完整,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井通信网络""}"
矿井通信网络,has_pain_point,地面与井下通信可靠性差,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井通信网络""}"
矿井通信网络,has_pain_point,多种通信系统并存（WiFi/4G/5G/广播），互不兼容,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井通信网络""}"
矿井通信网络,has_pain_point,语音/数据/视频传输带宽不足,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井通信网络""}"
矿井通信网络,has_pain_point,通信设备防爆认证要求高,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井通信网络""}"
矿井通风系统,has_pain_point,局部通风机管理分散,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井通风系统""}"
矿井通风系统,has_pain_point,灾变时期风流调控手段有限,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井通风系统""}"
矿井通风系统,has_pain_point,通风网络复杂，风量分配不合理,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井通风系统""}"
矿井通风系统,has_pain_point,通风能耗高，主扇运行效率低,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井通风系统""}"
矿井通风系统,has_pain_point,通风设施（风门/风桥）状态监测不足,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿井通风系统""}"
矿山综合管控平台,has_pain_point,各子系统（通风/排水/运输/安全/供电等）信息孤岛严重,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿山综合管控平台""}"
矿山综合管控平台,has_pain_point,应急指挥缺乏多系统联动支撑,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿山综合管控平台""}"
矿山综合管控平台,has_pain_point,生产数据分散，无法形成统一决策依据,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿山综合管控平台""}"
矿山综合管控平台,has_pain_point,缺乏全局性的生产态势感知,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿山综合管控平台""}"
矿山综合管控平台,has_pain_point,调度指挥依赖电话+对讲机，效率低,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""矿山综合管控平台""}"
穿爆作业（露天矿）,has_pain_point,炮孔利用率低，大块率高,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""穿爆作业（露天矿）""}"
穿爆作业（露天矿）,has_pain_point,爆破参数设计凭经验，块度不均匀,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""穿爆作业（露天矿）""}"
穿爆作业（露天矿）,has_pain_point,爆破安全距离内人员管理困难,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""穿爆作业（露天矿）""}"
穿爆作业（露天矿）,has_pain_point,爆破振动对周边建筑/边坡影响不可控,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""穿爆作业（露天矿）""}"
综采工作面,has_pain_point,工作面直线度难以保障，易导致设备偏移,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""综采工作面""}"
综采工作面,has_pain_point,液压支架自动跟机率低，人工操作劳动强度大,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""综采工作面""}"
综采工作面,has_pain_point,煤层厚度变化时采高难以自动调整,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""综采工作面""}"
综采工作面,has_pain_point,采煤机截割参数凭经验设定，无法自适应煤层变化,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""综采工作面""}"
绿色低碳与环保,has_pain_point,矸石山/尾矿库环境监测不完善,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""绿色低碳与环保""}"
绿色低碳与环保,has_pain_point,矿井水处理达标率不稳定,0.94,"{""source_id"": ""U01"", ""field"": ""有什么问题（痛点）"", ""scene"": ""绿色低碳与环保""}"
